"","","","","","","","","","","","","","mort"
"",0.899926553747065,0.00763782861254148,0.0110311076462483,0.0131009210735,0.00572446840252477,0.00170470793630617,0.012411765957342,0.00790797049740048,0.0218068135087899,0,0,0,0.00042
"",0,1.50598920391704e-17,0.0270821449849097,0.0226364028366627,4.40918489106279e-18,0,9.91574410018458e-18,1.40800507106752e-17,0.861282592248516,3.5106409792024e-18,1.68918502855812e-18,0.09,0.00042
"",0,0.18841308395574,0.672976340130803,0,0,5.50850869438963e-18,0,0,0,0.134132041829497,0,0.01,0.00042
"",0,2.92887385779225e-17,1.45970367788769e-17,0.599702446401111,3.97798731689024e-17,0,3.23376317529555e-18,0.0705389851548026,0.154964006677595,1.59877251251625e-17,2.37024765165808e-17,0.18,0.00042
"",0,0,5.40941055101335e-17,1.98308227820953e-17,0,0,7.46865671848208e-18,0,0.473351780020898,0.226954584540721,0,0.3,0.00042
"",0,3.42325023997887e-17,0.770480139035461,0,0,0,0.0445668205880353,0,0,6.99866631251655e-19,0,0.185,0.00042
"",0,1.95665204565107e-17,2.00190439944089e-17,0,0,0,0,0,0,0.0579498360793071,2.87101899541002e-18,0.944711892995643,0.00042
"",0,9.71511440408687e-18,2.96824771484075e-17,5.03771028951288e-17,6.57509862964856e-18,7.43483061146576e-18,0.122037756613618,0,1.53595023210878e-18,0,0,0.88,0.00042
"",0,0,0,0.0053455983716948,0,0,0,0,0,0,0,1,0.00042
"",0,2.50985192568953e-17,0.625011684344076,0,0,0,0,0,0,0.38083586379589,0,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.999544938420667,0,0.00042
"",0,5.00715024377984e-18,0,0.0572026304110257,1.86862629766547e-17,1.46691342910455e-17,0.0774197315768629,0,2.01733370582548e-17,0.224280252706605,6.76712074436926e-17,0.658221274873843,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
