"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11","State 12","State 13","State 14","State 15"
"State 1",0.891742839980491,0.00438104092853467,0.000457527588998313,0.00238122141936425,0.0262457383288648,0.00102051865844856,0.00508776027789871,0.00195116305896663,0.000400284183401975,0.010656506651571,0.00103190722852307,0.000564738256758213,0.0396573075275581,0.00329396233007335,0.0111274835805472
"State 2",0,0.560707658633361,0.000128401521548865,0.0280831492093379,0.0212334362664008,0.0195879903522352,0.0170215940881034,0.00140751822720502,0.0216060877273511,0.152661159942461,0.00586139878980461,0.00868294721057067,0.0208813563003049,0.125168228271717,0.0169690734595993
"State 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"State 4",0,0.0483876813274398,0.000134682778864333,0.589859650437411,0.0266780012250007,0.00633302992206119,0.0130491294389124,0.00631784874265518,0.0495833675997325,0.0461977543116587,0.00237493775773377,0.000583420589928634,0.0140793838657796,0.130491725444963,0.0659293865578588
"State 5",0,0.011250678282758,6.95187598443638e-05,0.0149051010853471,0.663064834564885,0.00153334543790025,0.0376851483309112,0.0379021448756972,0.0041229513785747,0.0352243641449896,0.00729286057359441,0.000569075885298198,0.080744521614272,0.0694174750963008,0.0362179799696265
"State 6",0,0.00229102199262817,5.42791058707871e-06,0.00292343162145261,0.0589862652560893,0.764463554219932,0.0695943981073188,0.00218508738364302,0.00066675649709772,0.0703276535329212,0.00260542443947139,0.000163616156522108,0.00931967702653097,0.0082846038213235,0.00818308203448252
"State 7",0,0.00699381513891509,3.50002217023026e-05,0.00951462314917053,0.265273404194446,0.00164675500799386,0.526628539070363,0.0166999950890869,0.00657896148969921,0.0144603228911523,0.00218236103648264,0.000403048659209956,0.0553353900660089,0.0385698767211433,0.055677907264626
"State 8",0,0.0141684390462243,2.29986775123034e-05,0.00436269925425976,0.0262467755873805,0.00111247161962801,0.00195286405783665,0.698615904528144,0.0439069135278653,0.0535715317225736,0.0136801352603519,0.000696080633043332,0.104449903157332,0.0250044457866666,0.0122088371411817
"State 9",0,0.000724714256014202,1.21769233820864e-06,0.000905613593449596,0.00126180154918547,0.000132624887543189,0.000100594504651082,0.000122453499401947,0.960700872378986,0.0298185422480319,0.000967927813266605,5.73415644435175e-05,0.00174562706295413,0.00186865144009445,0.00159201750963906
"State 10",0,0.0331812112069836,8.82615200431272e-05,0.0417433272276109,0.0559341730905876,0.00691219188608238,0.00599529411414906,0.00660076516438592,0.00596416431183471,0.567613603672212,0.0410156630126896,0.00268157605905736,0.0790378438367449,0.0871233250232954,0.0661085998743241
"State 11",0,0.00860092954187422,8.85809201917996e-06,0.0196268103591025,0.0104063986246188,0.0147832979410683,0.00249949510657025,0.00202980495743464,0.0250952326299331,0.134306111703812,0.609073511625064,0.000884480823804401,0.109691618620179,0.0133546245382238,0.0496388254362964
"State 12",0,0.0315803651113963,0.000141397713452092,0.00420996027901693,0.00696533720273103,0.0856182573748453,0.00666670685944737,0.000301623260537095,0.0619367420007444,0.0293826869993434,0.00139745382914112,0.603866747172559,0.0276530918516926,0.135722441738776,0.00455718860631646
"State 13",0,0.0223041174024878,3.21729905902305e-05,0.0189016985315417,0.0490217723640006,0.00610885685910593,0.0106036449154922,0.00200976538298842,0.00291653831395094,0.108450511696905,0.0101246710100877,0.0070992922601247,0.710812088671136,0.0358508489600637,0.0157640206415249
"State 14",0,0.0203349200164824,0.00168785186610418,0.0304172997387038,0.0226574347013986,0.00436492266444067,0.0204812952466831,0.00165753502109581,0.00937598267883927,0.0228345059525625,0.00521452622150479,0.00029675408692859,0.0181116040239494,0.812236323008212,0.0303290447730947
"State 15",0,0.0861090028755691,4.99710433136403e-05,0.123939961358064,0.0231122128486566,0.0273929336042471,0.0158066163150306,0.0339689407921888,0.0114370421437797,0.0940328898148272,0.00992486624266097,0.0029878072896293,0.0528963314219616,0.0558495518365823,0.462491872413489
